year,snapshot_date,country,rank,country_code,rating,rank_max,rating_max,rank_avg,rating_avg,rank_min,rating_min,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,confederation,is_host
1901,1901-12-31,England,1,EN,2013,1,2079,2,1989,2,1889,73,38,35,0,46,16,11,262,102,UEFA,0
1901,1901-12-31,Scotland,2,SQ,1973,1,2104,1,2018,2,1926,74,37,37,0,53,9,12,277,101,UEFA,0
1902,1902-12-31,Argentina,1,AR,2021,1,2021,1,2021,1,2021,1,0,1,0,1,0,0,6,0,CONMEBOL,0
1902,1902-12-31,England,2,EN,1995,1,2079,2,1989,2,1889,77,39,38,0,47,16,14,266,105,UEFA,0
1902,1902-12-31,Scotland,3,SQ,1983,1,2104,1,2017,3,1926,79,39,40,0,56,9,14,293,106,UEFA,0
1902,1902-12-31,Austria,4,AT,1914,4,1914,4,1914,4,1914,1,1,0,0,1,0,0,5,0,UEFA,0
1902,1902-12-31,Uruguay,6,UY,1879,4,1879,5,1879,6,1879,1,1,0,0,0,1,0,0,6,CONMEBOL,0
1903,1903-12-31,Argentina,1,AR,2005,1,2021,1,2018,1,2005,2,1,1,0,1,1,0,8,3,CONMEBOL,0
1903,1903-12-31,England,2,EN,1968,1,2079,2,1989,2,1889,80,42,38,0,49,17,14,273,108,UEFA,0
1903,1903-12-31,Scotland,3,SQ,1956,1,2104,2,2015,3,1926,82,40,42,0,58,10,14,296,109,UEFA,0
1903,1903-12-31,Austria,4,AT,1917,4,1917,4,1912,4,1906,3,2,1,0,2,1,0,11,5,UEFA,0
1903,1903-12-31,Uruguay,5,UY,1895,4,1895,6,1882,7,1879,2,1,1,0,1,1,0,3,8,CONMEBOL,0
1904,1904-12-31,Argentina,1,AR,2005,1,2021,1,2013,1,2005,2,1,1,0,1,1,0,8,3,CONMEBOL,0
1904,1904-12-31,England,2,EN,1981,1,2079,2,1988,3,1889,83,42,41,0,51,17,15,279,111,UEFA,0
1904,1904-12-31,Austria,3,AT,1910,3,1917,4,1912,4,1903,5,3,2,0,3,2,0,16,12,UEFA,0
1904,1904-12-31,Scotland,4,SQ,1898,1,2104,2,2012,5,1898,85,42,43,0,58,11,16,298,112,UEFA,0
1904,1904-12-31,Uruguay,6,UY,1895,4,1895,6,1888,7,1879,2,1,1,0,1,1,0,3,8,CONMEBOL,0
1904,1904-12-31,Belgium,8,BE,1790,8,1790,8,1790,8,1790,1,1,0,0,0,0,1,3,3,UEFA,0
1904,1904-12-31,France,9,FR,1610,9,1610,9,1610,9,1610,1,0,1,0,0,0,1,3,3,UEFA,0
1905,1905-12-31,Argentina,1,AR,1997,1,2021,1,2009,1,1997,3,2,1,0,1,1,1,8,3,CONMEBOL,0
1905,1905-12-31,England,2,EN,1973,1,2079,2,1988,3,1889,86,45,41,0,53,17,16,284,113,UEFA,0
1905,1905-12-31,Netherlands,3,NL,1936,3,1936,3,1935,3,1925,2,1,1,0,2,0,0,8,1,UEFA,0
1905,1905-12-31,Austria,4,AT,1912,3,1917,4,1911,4,1903,6,3,3,0,3,2,1,16,12,UEFA,0
1905,1905-12-31,Uruguay,5,UY,1903,4,1903,6,1891,7,1879,3,1,2,0,1,1,1,3,8,CONMEBOL,0
1905,1905-12-31,Scotland,8,SQ,1841,1,2104,2,2007,8,1841,88,43,45,0,59,13,16,303,116,UEFA,0
1905,1905-12-31,Belgium,9,BE,1763,8,1790,8,1779,9,1763,4,3,1,0,1,2,1,11,11,UEFA,0
1905,1905-12-31,France,10,FR,1606,9,1615,9,1609,10,1606,3,1,2,0,1,1,1,4,10,UEFA,0
1905,1905-12-31,Switzerland,13,CH,1495,11,1495,12,1495,13,1495,1,0,1,0,0,1,0,0,1,UEFA,0
1906,1906-12-31,Argentina,1,AR,2008,1,2021,1,2007,1,1980,6,4,2,0,3,2,1,12,5,CONMEBOL,0
1906,1906-12-31,England,2,EN,1973,1,2079,2,1987,3,1889,90,45,45,0,56,18,16,306,115,UEFA,0
1906,1906-12-31,Austria,4,AT,1901,3,1917,4,1911,4,1901,7,3,4,0,3,3,1,17,15,UEFA,0
1906,1906-12-31,Netherlands,6,NL,1879,3,1936,4,1913,7,1879,4,2,2,0,2,2,0,10,9,UEFA,0
1906,1906-12-31,South Africa,7,ZA,1847,7,1847,8,1845,10,1817,2,0,2,0,2,0,0,7,1,CAF,0
1906,1906-12-31,Uruguay,8,UY,1845,4,1903,6,1888,8,1845,6,3,3,0,1,4,1,5,18,CONMEBOL,0
1906,1906-12-31,Belgium,9,BE,1837,8,1837,9,1792,9,1763,7,4,3,0,4,2,1,24,13,UEFA,0
1906,1906-12-31,Scotland,10,SQ,1820,1,2104,2,2001,10,1785,91,45,46,0,61,14,16,306,119,UEFA,0
1906,1906-12-31,France,11,FR,1578,9,1615,10,1603,11,1578,5,3,2,0,1,3,1,4,30,UEFA,0
1906,1906-12-31,Switzerland,14,CH,1495,11,1495,13,1495,14,1495,1,0,1,0,0,1,0,0,1,UEFA,0
1907,1907-12-31,Argentina,1,AR,2025,1,2025,1,2008,1,1980,8,5,3,0,5,2,1,16,7,CONMEBOL,0
1907,1907-12-31,England,2,EN,1979,1,2079,2,1987,3,1889,95,49,46,0,59,18,18,329,120,UEFA,0
1907,1907-12-31,Austria,4,AT,1900,3,1917,4,1910,4,1900,9,4,5,0,4,4,1,21,20,UEFA,0
1907,1907-12-31,Netherlands,6,NL,1848,3,1936,5,1896,7,1848,8,4,4,0,3,5,0,17,32,UEFA,0
1907,1907-12-31,South Africa,7,ZA,1847,7,1847,7,1847,10,1817,2,0,2,0,2,0,0,7,1,CAF,0
1907,1907-12-31,Uruguay,8,UY,1828,4,1903,6,1879,8,1828,8,4,4,0,1,6,1,7,22,CONMEBOL,0
1907,1907-12-31,Belgium,9,BE,1815,8,1837,9,1799,10,1763,10,6,4,0,5,4,1,28,19,UEFA,0
1907,1907-12-31,Scotland,10,SQ,1810,1,2104,2,1996,10,1785,94,46,48,0,62,15,17,310,121,UEFA,0
1907,1907-12-31,France,12,FR,1595,9,1615,10,1599,12,1578,6,3,3,0,2,3,1,6,31,UEFA,0
1907,1907-12-31,Switzerland,14,CH,1495,11,1495,13,1495,14,1495,1,0,1,0,0,1,0,0,1,UEFA,0
1908,1908-12-31,England,1,EN,2146,1,2146,2,1989,3,1889,109,53,56,0,72,18,19,417,130,UEFA,0
1908,1908-12-31,Argentina,2,AR,2001,1,2026,1,2010,3,1980,11,7,4,0,6,3,2,20,11,CONMEBOL,0
1908,1908-12-31,Netherlands,4,NL,1904,3,1936,5,1892,7,1848,14,7,6,1,8,6,0,35,42,UEFA,0
1908,1908-12-31,Austria,7,AT,1865,3,1917,4,1906,7,1865,14,8,6,0,6,7,1,33,44,UEFA,0
1908,1908-12-31,Uruguay,8,UY,1852,4,1903,6,1872,9,1827,11,5,6,0,2,7,2,11,26,CONMEBOL,0
1908,1908-12-31,South Africa,9,ZA,1847,7,1847,7,1847,10,1817,2,0,2,0,2,0,0,7,1,CAF,0
1908,1908-12-31,Scotland,10,SQ,1835,1,2104,2,1991,10,1785,97,48,49,0,64,15,18,318,123,UEFA,0
1908,1908-12-31,Belgium,11,BE,1771,8,1837,9,1795,11,1763,15,9,6,0,7,7,1,36,36,UEFA,0
1908,1908-12-31,Germany,12,DE,1669,11,1680,12,1670,13,1669,3,1,2,0,0,3,0,6,13,UEFA,0
1908,1908-12-31,Sweden,13,SE,1657,11,1704,12,1683,13,1657,6,2,3,1,1,5,0,17,30,UEFA,0
1908,1908-12-31,France,14,FR,1573,9,1615,11,1597,14,1573,11,4,6,1,3,7,1,11,67,UEFA,0
1908,1908-12-31,Switzerland,17,CH,1505,11,1505,14,1497,17,1485,3,2,1,0,1,2,0,6,6,UEFA,0
1908,1908-12-31,Norway,20,NO,1396,19,1396,19,1396,20,1396,1,0,1,0,0,1,0,3,11,UEFA,0
1909,1909-12-31,England,1,EN,2207,1,2207,2,1994,3,1889,122,60,62,0,85,18,19,505,138,UEFA,0
1909,1909-12-31,Argentina,2,AR,2012,1,2026,1,2009,3,1980,14,9,5,0,8,3,3,27,15,CONMEBOL,0
1909,1909-12-31,Netherlands,4,NL,1920,3,1936,5,1898,7,1848,18,9,8,1,10,8,0,44,57,UEFA,0
1909,1909-12-31,Austria,7,AT,1852,3,1917,4,1899,8,1848,18,10,8,0,6,9,3,40,59,UEFA,0
1909,1909-12-31,South Africa,8,ZA,1847,7,1847,8,1847,10,1817,2,0,2,0,2,0,0,7,1,CAF,0
1909,1909-12-31,Uruguay,9,UY,1841,4,1903,7,1869,9,1827,14,6,8,0,2,9,3,15,33,CONMEBOL,0
1909,1909-12-31,Scotland,10,SQ,1807,1,2104,3,1986,10,1785,100,49,51,0,65,17,18,325,128,UEFA,0
1909,1909-12-31,Belgium,11,BE,1742,8,1837,9,1787,11,1736,19,11,8,0,8,10,1,45,57,UEFA,0
